ano,mês,dia,hora,Rn,Gmedio,T_z1,UR_z1
2009,1,16,2300,-32.36,-12.8725,23.3490200514424,92.9116230738431
2009,1,17,130,-16615,-10.2525,23.4047851255444,94.8821013547966
2009,1,17,200,-15545,-10.2975,23.328741842678,95.9431281214638
2009,1,17,230,-16.85,-10.1925,23.2526985598117,95.9936532055908
2009,1,17,300,-19.07,-10435,23.1614466203721,95.6905027008287
2009,1,17,330,-13615,-10.7825,23.0549860243592,96.0947033738448
2009,1,17,400,-13415,-10495,23.1208902028434,96.6504792992419
2009,1,17,430,-16225,-10.12,23.1208902028434,96.3473287944799
2009,1,17,500,-16.72,-10055,23.0854033375058,95.9431281214638
2009,1,17,530,-19865,-10.5775,22.8572734889068,95.4378772801937
2009,1,17,600,-13.39,-10.8725,22.7254651319384,95.6905027008287
2009,1,17,630,0.1685,-9.5775,22.8471343845246,96.0441782897178
2009,1,17,700,14625,-7.66475,23.0854033375058,95.8926030373368
2009,1,17,730,58465,-3.77375,23.5315239303216,94.7810511865425
2009,1,17,800,120.85,-0.11125,24.2260525805008,92.103221727811
2009,1,17,830,291.55,4.66575,25.2298239143365,86.7475628103478
2009,1,17,900,300.6,6.43225,25.5593448067573,83.8676330151082
2009,1,17,930,379.95,9.7775,25.8990048035603,81.7455794817737
2009,1,17,1000,283.75,8.5945,26.1423433087325,80.1287767897094
2009,1,17,1030,681.2,22.0025,27.1663928513325,77.4004222468508
2009,1,17,1100,662.1,14.63,28.0991904544929,73.0552650119279
2009,1,17,1130,555.55,15.5775,27.9268256799959,73.611040937325
2009,1,17,1200,349.8,10.36825,28.0687731413464,71.9942382452606
2009,1,17,1230,380.55,11.1625,28.4236417947227,70.5290108055773
2009,1,17,1300,464.2,14.5425,29.1435182058573,67.1337251522422
2009,1,17,1330,731.5,19.9725,30.035759391489,63.1119284557321
2009,1,17,1400,868.5,33.2425,30.9786960990316,58.3676230562058
2009,1,17,1430,395.15,9.8805,30.7911226679613,55.8666313919188
2009,1,17,1500,360.4,5.6565,30.263889240088,59.1608668769999
2009,1,17,1530,359.05,12245,29.9698552130048,62.1317418236681
2009,1,17,1600,400.4,5.07525,29.8481859604187,61.7780662347791
2009,1,17,1630,254,2761,30.2436110313237,60.2976812698576
2009,1,17,1700,268.4,-3.34725,30.4159758058207,57.8118471308087
2009,1,17,1730,207.05,-3.91325,30.8418181898722,56.7912404314431
2009,1,17,1800,101.4,-6.18125,30.7607053548148,58.1655227196978
2009,1,17,1830,-5.42,-8.6275,29.9597161086227,62.7380428331923
2009,1,17,1900,-41.93,-10.02,29.4983868592336,64.162850205574
2009,1,18,530,-22375,-10.6925,23.0194991590216,93.9221247563834
2009,1,18,600,-17865,-9.8025,23.0803337853147,94.0231749246374
2009,1,18,630,-3339,-8.5975,23.2780463207672,93.3158237468592
2009,1,18,700,5928,-7.5355,23.4149242299266,92.7600478214621
2009,1,18,730,57.08,-4906,23.5720803478503,92.103221727811
2009,1,18,800,113.5,-1.52425,23.8863925836979,90.3348437833656
2009,1,18,830,58065,-787,24.0283400450483,90.7895695405087
2009,1,18,900,61.55,-1.57525,23.8559752705513,93.0126732420971
2009,1,18,930,49865,-1.88875,23.8711839271246,92.7095227373351
2009,1,18,1000,89.8,-0.83525,24.0384791494305,92.7095227373351
2009,1,18,1030,135.15,3294,24.4998083988196,90.9411447928897
2009,1,18,1100,152.7,6.2805,24.9053725741068,87.454913988126
2009,1,18,1130,162.75,5.82825,25.4173973454068,85.4844357071725
2009,1,18,1200,187.4,5.58775,25.6455271940058,84.9286597817754
2009,1,18,1230,118.05,2.94775,25.5390665979929,85.8886363801886
2009,1,18,1300,149.05,3.15625,25.9142134601335,85.3833855389185
2009,1,18,1330,198.9,4.16,26.1068564433949,84.2213086039973
2009,1,18,1400,386.1,12.31,26.6949244975613,81.9982049024088
2009,1,18,1430,610.25,15.8575,27.6226525485306,78.0067232563749
2009,1,18,1500,562.6,15.11,27.8000868752187,75.3288937976434
2009,1,18,1530,569.35,39.9925,28.6821889564682,71.6961402489113
2009,1,18,1600,361.35,10.5495,28.7582322393345,70.2915429101804
2009,1,18,1630,188.75,-1.28325,28.5199632863534,72.1963385817687
2009,1,18,1700,87.09,-2.5525,28.3526680640474,74.7225927881192
2009,1,18,1730,-14685,-20.6525,24.6417558601701,85.5349607912996
2009,1,18,1800,-5.7925,-28.94,21.8687108116444,96.2968037103529
2009,1,18,1830,-11.18,-21.98,22.0562842427147,96.4989040468609
2009,1,18,1900,-11.91,-20325,22.0816320036701,96.953629804004
2009,1,18,1930,-12.68,-18.5275,22.1830230474919,97.105205056385
2009,1,18,2000,-13455,-17345,22.1728839431097,97.2062552246391
2009,1,18,2030,-13.7,-15835,22.1779534953008,97.3073053928931
2009,1,18,2100,-15.89,-14.68,22.1779534953008,97.3578304770201
2009,1,18,2130,-17.88,-14.8025,22.1931621518741,97.4588806452741
2009,1,18,2200,-19.2,-14.1275,22.2387881215939,97.4588806452741
2009,1,18,2230,-27255,-13955,22.3553878219889,97.4083555611471
2009,1,18,2300,-29.21,-14095,22.5024048355305,97.4588806452741
2009,1,18,2330,-25.65,-13.6225,22.5987263271612,97.5094057294011
2009,1,19,0,-32.05,-13.44,22.6291436403077,97.5094057294011
2009,1,19,30,-24.54,-13585,22.5531003574414,97.6104558976551
2009,1,19,100,-19.03,-12695,22.4871961789572,97.7115060659092
2009,1,19,130,-30475,-12.5825,22.4060833438998,97.8125562341632
2009,1,19,200,-21535,-12.93,22.3655269263711,97.9136064024172
2009,1,19,230,-15.91,-12.32,22.3655269263711,97.9136064024172
2009,1,19,300,-15545,-11.2875,22.4314311048553,97.9136064024172
2009,1,19,330,-18475,-10925,22.5176134921038,97.8630813182902
2009,1,19,400,-17835,-11.0475,22.4821266267662,97.8125562341632
2009,1,19,430,-17.24,-10.7825,22.4618484180018,97.7620311500362
2009,1,19,500,-23.62,-10805,22.4871961789572,97.7115060659092
2009,1,19,530,-20.35,-11.0475,22.4212920004731,97.7115060659092
2009,1,19,600,-11235,-10.5975,22.5429612530592,97.4588806452741
2009,1,19,630,18.43,-8925,22.7153260275563,96.903104719877
2009,1,19,700,51645,-6.04375,23.0144296068305,96.1957535420988
2009,1,19,730,126.65,-1.4335,23.9725749709464,93.0631983262242
2009,1,19,800,210,2.8125,25.2703803318652,87.454913988126
2009,1,19,830,293.85,8.24725,26.2133170394078,83.6655326786002
2009,1,19,900,411.7,15,26.9889585246444,79.3709005278042
2009,1,19,930,507.9,19.25,27.9673820975246,74.0152416103411
2009,1,19,1000,575.45,18.36,28.2614161246078,71.1757318824031
2009,1,19,1030,442.05,19.6,28.3425289596652,71.2969920843079
2009,1,19,1100,617.65,17115,28.5047546297801,70.1955452503391
2009,1,19,1130,728,20.4325,29.1435182058573,68.7050552685922
2009,1,19,1200,603.2,15.9425,29.0167794010801,69.1496760089099
2009,1,19,1230,558.1,18405,29.4882477548514,68.760632861132
2009,1,19,1300,331.5,13.73,29.1181704449019,70.4229081289106
2009,1,19,1330,194.25,11.2425,28.3070420943276,73.4796757185948
2009,1,19,1400,183.9,10.23,27.4604268784157,80.8361279674875
2009,1,19,1430,122.45,6.06525,27.3691749389761,82.6045059119329
2009,1,19,1500,70.93,3.4385,26.9230543461603,83.9686831833622
2009,1,19,1530,123.75,7.53375,27.0751409118929,81.4929540611387
2009,1,19,1600,240.95,4.45425,26.7557591238543,82.0487299865358
2009,1,19,1630,208.95,2.45225,26.1322042043504,83.4129072579651
2009,1,19,1700,194.2,-3883,25.6100403286682,81.9982049024088
2009,1,19,1730,110.15,-7555,25.1284328705147,82.2003052389168
2009,1,19,1800,24.22,-12.78,24.4693910856731,84.1707835198703
